versiono,display_name,name
0,create tokenverification,TOKENVERIFICATIONENTITY_CREATE
0,read appconfiguration,APPCONFIGURATIONENTITY_READ
0,create permission,PERMISSIONENTITY_CREATE
0,create userspermission,USERSPERMISSIONENTITY_CREATE
0,delete timesheet,TIMESHEETENTITY_DELETE
0,create role,ROLEENTITY_CREATE
0,update timesheet,TIMESHEETENTITY_UPDATE
0,create usertask,USERTASKENTITY_CREATE
0,create timeofftype,TIMEOFFTYPEENTITY_CREATE
0,update users,USERSENTITY_UPDATE
0,delete timesheetstatus,TIMESHEETSTATUSENTITY_DELETE
0,update timeofftype,TIMEOFFTYPEENTITY_UPDATE
0,read project,PROJECTENTITY_READ
0,update userspreference,USERSPREFERENCEENTITY_UPDATE
0,read rolepermission,ROLEPERMISSIONENTITY_READ
0,update jwtentity,JWTENTITYENTITY_UPDATE
0,read usertask,USERTASKENTITY_READ
0,read timesheetdetails,TIMESHEETDETAILSENTITY_READ
0,delete jwtentity,JWTENTITYENTITY_DELETE
0,update rolepermission,ROLEPERMISSIONENTITY_UPDATE
0,read timesheet,TIMESHEETENTITY_READ
0,delete tokenverification,TOKENVERIFICATIONENTITY_DELETE
0,update task,TASKENTITY_UPDATE
0,create project,PROJECTENTITY_CREATE
0,delete userspreference,USERSPREFERENCEENTITY_DELETE
0,update role,ROLEENTITY_UPDATE
0,create task,TASKENTITY_CREATE
0,update timesheetstatus,TIMESHEETSTATUSENTITY_UPDATE
0,delete timeofftype,TIMEOFFTYPEENTITY_DELETE
0,create userspreference,USERSPREFERENCEENTITY_CREATE
0,delete rolepermission,ROLEPERMISSIONENTITY_DELETE
0,update customer,CUSTOMERENTITY_UPDATE
0,delete usertask,USERTASKENTITY_DELETE
0,delete usersrole,USERSROLEENTITY_DELETE
0,update timesheetdetails,TIMESHEETDETAILSENTITY_UPDATE
0,update userspermission,USERSPERMISSIONENTITY_UPDATE
0,read users,USERSENTITY_READ
0,read tokenverification,TOKENVERIFICATIONENTITY_READ
0,update usersrole,USERSROLEENTITY_UPDATE
0,delete appconfiguration,APPCONFIGURATIONENTITY_DELETE
0,delete permission,PERMISSIONENTITY_DELETE
0,read userspreference,USERSPREFERENCEENTITY_READ
0,read timeofftype,TIMEOFFTYPEENTITY_READ
0,update appconfiguration,APPCONFIGURATIONENTITY_UPDATE
0,create jwtentity,JWTENTITYENTITY_CREATE
0,update tokenverification,TOKENVERIFICATIONENTITY_UPDATE
0,create timesheetdetails,TIMESHEETDETAILSENTITY_CREATE
0,delete project,PROJECTENTITY_DELETE
0,read jwtentity,JWTENTITYENTITY_READ
0,create usersrole,USERSROLEENTITY_CREATE
0,read customer,CUSTOMERENTITY_READ
0,create timesheet,TIMESHEETENTITY_CREATE
0,delete role,ROLEENTITY_DELETE
0,read task,TASKENTITY_READ
0,update usertask,USERTASKENTITY_UPDATE
0,read permission,PERMISSIONENTITY_READ
0,update permission,PERMISSIONENTITY_UPDATE
0,create timesheetstatus,TIMESHEETSTATUSENTITY_CREATE
0,delete userspermission,USERSPERMISSIONENTITY_DELETE
0,create rolepermission,ROLEPERMISSIONENTITY_CREATE
0,read role,ROLEENTITY_READ
0,delete users,USERSENTITY_DELETE
0,read usersrole,USERSROLEENTITY_READ
0,create customer,CUSTOMERENTITY_CREATE
0,delete customer,CUSTOMERENTITY_DELETE
0,read timesheetstatus,TIMESHEETSTATUSENTITY_READ
0,delete timesheetdetails,TIMESHEETDETAILSENTITY_DELETE
0,delete task,TASKENTITY_DELETE
0,read userspermission,USERSPERMISSIONENTITY_READ
0,create users,USERSENTITY_CREATE
0,create appconfiguration,APPCONFIGURATIONENTITY_CREATE
0,update project,PROJECTENTITY_UPDATE
